unique_id,core_id,citing_title,citing_author,cited_title,cited_author,citation_context,citation_class_label
CC20,158977742,"Ontology-Based Recommendation of Editorial Products","Thiviyan Thanapalasingam","Pragmatic Ontology Evolution: Reconciling User Requirements and Application Performance","Osborne","This API supports a number of applications, including Smart Book Recommender, Smart Topic Miner [5], the Technology-Topic Framework [6], a system that forecasts the propagation of technologies across research communities, and the Pragmatic Ontology Evolution Framework #AUTHOR_TAG, an approach to ontology evolution that is able to select new concepts on the basis of their contribution to specific computational tasks",0
CC21,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","The PLEX Cards and its techniques as sources of inspiration when designing for playfulness (PDF Download Available","Lucero","(2016) applied cards to create innovative ways to teach mathematics; #AUTHOR_TAG and Arrasvuori (2013) to support the design for playfulness; both Golembewski and Selby (2010) and Roubira (2008) used cards as an inspiration tool to define and explore preliminary design ideas; and Halskov and Dalsg��__rd (2006) to explore how to apply technology to concepts from domain studies.In Deng et al",0
CC22,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Attention to Daily Encounters With Sexism as Way to Reduce Sexist Beliefs","Becker","Everyday sexism as a social issueEveryday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed ( Barreto et al., 2009;#AUTHOR_TAG and Swim, 2011)",5
CC23,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Heritage: Having a say","Kensing","Adhering to Participatory Design principles ( #AUTHOR_TAG, 2012) in order to transcribe diversified experiences and knowledge on the cards could be seen as an efficient approach to design such cards.Using participatory approaches to design cards has been described as having the potential to enable more engaging and effective design experiences and results (Chow et al., 2016;Golembewski and Selby, 2010;Halskov and Dalsg��__rd, 2006)",4
CC24,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Learning from experience through reflection","Wood Daudelin","Following the process of reflection presented by #AUTHOR_TAG (1996), in the new version the first word of 4 questions were added as a visual prompt",0
CC25,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Semantic Map of Sexism: Topic Modelling of Everyday Sexism Project Entries","Melville","The lived experiences were extracted from a website called everydaysexism.com where people shared their experiences on everyday sexism ( #AUTHOR_TAG et al., 2017)",0
CC26,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Un)Structured Sources of Inspiration: Comparing the Effects of Game-like Cards and Design Cards on Creativity in Codesign Process","Kwiatkowska","A study compared PLEX Cards, which contain a definition and an informative illustration; and DIXIT Cards, which represent abstract illustrations, and found similar results in terms of numbers of ideas generated ( #AUTHOR_TAG et al., 2014)",1
CC27,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Reducing the Endorsement of Sexism Using Experiential Learning: The Workshop Activity for Gender Equity Simulation (WAGES)","Zawadzki","Identifying everyday sexism and its different forms, empathising with other people's experiences, and reflecting on them are seen as possible ways to contribute to gender equality ( Becker and Swim, 2011;#AUTHOR_TAG et al., 2013)",0
CC28,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Mapping learning and game mechanics for serious games analysis","Arnab","Most of the participatory models to design educational games are founded on educational theories and game design (see for example: Amory, 2007; #AUTHOR_TAG et al., 2015)",4
CC29,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Is Participatory Design Associated with the Effectiveness of Serious Digital Games for Healthy Lifestyle Promotion? A Meta-Analysis","Desmet","Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined ( Carvalho et al., 2015; #AUTHOR_TAG., 2016)",0
CC30,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","Using games to raise awareness: How to co-design serious mini-games?","De Jans","Some more recent models, though, have also included domain experts to define the learning content of the educational game (#AUTHOR_TAG et al., 2017)",4
CC31,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","An activity theorybased model for serious games analysis and conceptual design","Carvalho","Yet, it represents a challenge as best practices to co-design such games, which require technical, conceptual and educational skills, still have to be defined ( #AUTHOR_TAG et al., 2015;DeSmet et al., 2016)",1
CC32,211273841,"Co-designing Cards on Social Issues for Creating Educational Games","Christina Myers","The glass ceiling in the 21st century: Understanding barriers to gender equality","Barreto","Everyday sexism as a social issueEveryday sexism rests on the concept that sexism is either faced or reproduced on a daily basis but is rarely noticed ( #AUTHOR_TAG et al., 2009;Becker and Swim, 2011)",4
CC33,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Predicting results of the Research Excellence Framework using departmental h-index","Mryglod","#AUTHOR_TAG used departmental h-index aggregation to predict REF rankings",0
CC34,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Performance-based university research funding systems","Hicks","Furthermore, the PRFS in Norway and Australia are both used for research evaluation but are not used for funding distribution #AUTHOR_TAG",0
CC35,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Using Google Scholar institutional level data to evaluate the quality of university research","Mingers","#AUTHOR_TAG recently completed an investigation that collected total citation counts from Google Scholar (GS) for the top 50 academics 1 from each UK institute and he found strong correlations with overall REF rankings",1
CC36,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Evaluating research-peer review team assessment and journal based bibliographic measures: New Zealand PBRF research output scores in 2006","Anderson","#AUTHOR_TAG finds only weak to moderate correlation with results from the New Zealand PRFS and a range of traditional journal rankings",0
CC37,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Benchmarking Google Scholar with the New Zealand PBRF research assessment exercise","Smith","Contrary to Anderson, #AUTHOR_TAG  used citations from Google Scholar (GS) and correlated these against the results from the New Zealand PRFS in 2008",0
CC38,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Excellence Framework 2014: Overview report by Main Panel A and Sub-panels 1 to 6","Research","The rankings are of critical importance to the institutes as approximately ��_��__��_��__��_1.6 billion in QR funding from central government is distributed annually entirely on the basis of the REF results #AUTHOR_TAG.",0
CC39,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","An alternative to REF2014?","Bishop","An ad hoc study by #AUTHOR_TAG also found a moderate to strong correlation between departmental research funding based on the results of the UK's Research Assessment and Evaluation (RAE) exercise conducted in 2008, and departmental h-index",1
CC40,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","An analysis of the microsoft academic graph","Herrmannova","Additionally, studies by #AUTHOR_TAG and [12]  We systematically queried the MAG Evaluate API for each submission using a normalised version of the publication's title (lower case, diacritics removed)",0
CC41,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Do they agree? Bibliometric evaluation versus informed peer review in the Italian research assessment exercise","Baccini","DiscussionIt has been shown in [4], #AUTHOR_TAG and that many bibliometric indicators show little correlation with peer review judgments at the article level",0
CC42,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Building on success and learning from experience: an independent review of the Research Excellence Framework","Stern","Several studies including The Metric Tide [4], The #AUTHOR_TAG Report [14] and the HEFCE pilot study [15] all state that metrics should be used as an additional component in research evaluation, with peer review remaining as the central pillar",0
CC43,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Impartial judgment by the ""gatekeepers"" of science: fallibility and accountability in the peer review process","Hojat","Yet, peer review has been shown by #AUTHOR_TAG, [17] and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research",0
CC44,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Bias in peer review","Lee","Yet, peer review has been shown by [16], #AUTHOR_TAG and [18] amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research",0
CC45,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Peer review: a flawed process at the heart of science and journals","Smith","Yet, peer review has been shown by [16], [17] and #AUTHOR_TAG amongst others to exhibit many forms of bias including institutional bias, gender / age related bias and bias against interdisciplinary research",0
CC46,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Testing for the presence of positive-outcome bias in peer review: a randomized controlled trial","Emerson","In an examination of one of the most critical forms of bias, that of publication bias, #AUTHOR_TAG [19] noted that reviewers were much more likely to recommend papers demonstrating positive results over those that demonstrated null or negative results.",1
CC47,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","The apparatus of research assessment is driven by the academic publishing industry","Coles","#AUTHOR_TAG calculated a very similar figure of 2 papers per day, based on an estimate before the data we now have was available",1
CC48,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","Rank hypocrisies: The insult of the REF","Sayer","#AUTHOR_TAG [21] is equally disparaging in regards to the volume of papers each reviewer was required to read and also expresses significant doubts about the level of expertise within the review panels themselves.In addition to the potential pitfalls in the current methodologies, there is also the enormous cost to be considered",0
CC49,159766439,"Peer review and citation data in predicting university rankings, a large-scale analysis","David Pride","The coverage of Microsoft Academic: Analyzing the publication output of a university","Hug","Additionally, studies by [11] and #AUTHOR_TAG  We systematically queried the MAG Evaluate API for each submission using a normalised version of the publication's title (lower case, diacritics removed)",0
CC50,159766439,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","The North American Carbon Program NACP ","Wofsy","The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (#AUTHOR_TAG, 2002)",0
CC51,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","The First State of the Carbon Cycle Report SOCCR The North American Carbon Budget and Implications for the Global Carbon Cycle National Oceanic and Atmospheric Administration","King","The State of the Carbon Cycle Report established that North America is a net source of CO 2 to the atmosphere, due to fossil-fuel emissions and that there are globally important carbon sinks whose future is highly uncertain ( #AUTHOR_TAG, 2007)",0
CC52,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Making science useful to decision makers climate forecasts water management and knowledge networks weather","Feldman","Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (Bernabo, 1995;#AUTHOR_TAG and Ingram, 2009), such as those who confer support upon the member agencies of the NACP through funding and other resources.",0
CC53,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Scientific collaboration networks I Network construction and fundamental results","Newman","Many studies have used the relationships between authors of a document to study broad domains such as physics (#AUTHOR_TAG, 2001a) and mathematics ( Barabsi et al., 2002)",5
CC54,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Basic notions for the analysis of large two mode networks","Latapy","If all the nodes in the neighborhood of a scientist-node are connected to other scientist-nodes of that neighborhood, then the clustering coefficient of that neighborhood will be 1; if none of the other nodes in the neighborhood are connected to each other then the clustering coefficient will be zero ( #AUTHOR_TAG et al., 2008)",5
CC55,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Modularity and community structure in networks","Newman","For example, modularity is the fraction of the connections within given groups minus the expected such fraction if connections were distributed at random (#AUTHOR_TAG, 2006)",5
CC56,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Social networks of researchers in B2B marketing a case study of the IMP Group 1984 1999","Morlacchi","More recently, studies have also employed narrower sampling approaches, such as only including data from a specific journal (Martin et al., 2013) or based on attendance records of participation for the active members of a community of business ( #AUTHOR_TAG et al., 2008)",5
CC57,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","The structure of scientific collaboration networks","Newman","But given enough connections, isolated groups may converge into a single mass, which encompasses the majority of nodes, and in which everyone is potentially connected to everyone else by some path (#AUTHOR_TAG, 2001b)",5
CC58,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Enhancing climate resilience at NASA centers the Climate Adaptation Science Investigator workgroup CASI for science and stewardship","Rosenzweig","Although scientific research does not have a simple cause-and-effect relationship with improved societal outcomes, some research has led to reduced exposure to extreme events, improved forest management, and effective policies to ensure agricultural sustainability ( #AUTHOR_TAG et al., 2014)",0
CC59,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","The use of seasonal climate forecasting in policymaking lessons from Ceara northern Brazil","Lemos","It is not clear from our analysis that such work is being done yet in the NACP #AUTHOR_TAG, 2011",0
CC60,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Simultaneously mitigating near term climate change and improving human health and food security","Shindell","These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;#AUTHOR_TAG et al., 2012)",0
CC61,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Cycles of Life Civilization and the Biosphere","Smil","Understanding how climate change may evolve over the coming decades requires significant investment in research about carbon and how it cycles, through both living and nonliving states (#AUTHOR_TAG, 1996)",0
CC62,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","A network approach to mixing delegates at meetings","Vaggi","For example, one study explored the introduction of scientists who were previously unacquainted and from different research backgrounds using brief meetings during a conference ( #AUTHOR_TAG et al., 2014)",3
CC63,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Social Network Analysis Methods and Applications","Wasserman","Network analysis is a research approach that prioritizes relationships between social units as opposed to focusing on attributes of the individual units themselves (#AUTHOR_TAG and Faust, 1994)",5
CC64,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Studying research collaboration using co authorships","Melin","RankJournals Articles % of total institutionally co-authored if it has more than one author address, suggesting that the authors come from various institutions, departments, or other kinds of units"" (#AUTHOR_TAG and Persson, 1996)",5
CC65,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Star scientists and institutional transformation patterns of invention and innovation in the formation of the biotechnology industry","Zucker","For example, previous studies have found that cross-institutional collaboration supports the diffusion of innovations and new ideas within a field (#AUTHOR_TAG and Darby, 1996)",5
CC66,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Adapting agriculture to climate change a global initiative to collect conserve and use crop wild relatives","Dempewolf","These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;Bradbear and Friel, 2013;#AUTHOR_TAG et al., 2014;Shindell et al., 2012)",0
CC67,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Global response of the terrestrial biosphere to CO2 and climate change using a coupled climate carbon cycle model","Berthelot","These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (#AUTHOR_TAG et al., 2002;Bradbear and Friel, 2013;Dempewolf et al., 2014;Shindell et al., 2012)",0
CC68,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Communication among scientists decision makers and society developing policy relevant global climate change research","Bernabo","Understanding how humans both experience and influence the carbon cycle and climate change is critical to the interests of decision makers (#AUTHOR_TAG, 1995;Feldman and Ingram, 2009), such as those who confer support upon the member agencies of the NACP through funding and other resources.",0
CC69,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","The global carbon cycle a test of our knowledge of earth as a system","Falkowski","Scientists frequently study these biogeochemical cycles in the context of subsystems such as the terrestrial biosphere (land-based living systems), oceanic systems (both organic and inorganic forms of carbon), and the atmosphere ( #AUTHOR_TAG et al., 2000)",0
CC70,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","The qualitative content analysis process","Elo","Content analysis may be approached either inductively, in a purely exploratory context, or deductively when seeking to test known ideas or compare changes in content over time (#AUTHOR_TAG and Kyngs, 2008)",5
CC71,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Creating usable science opportunities and constraints for climate knowledge use and their implications for science policy Glob Environ","Dilling","It is not clear from our analysis that such work is being done yet in the NACP ( #AUTHOR_TAG and Lemos, 2011;Lemos et al., 2002)",0
CC72,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Implementation Strategy for the North American Carbon Program Report of the NACP Implementation Strategy Group of the U S Carbon Cycle Interagency Working Group","Denning","We have noted that the knowledge domain of the NACP is codified within the US Carbon Cycle Science Plan (Michalak et al., 2011), the Science Implementation Strategy for the North American Carbon Program of 2005(#AUTHOR_TAG, 2005, and similar supporting documents",0
CC73,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Evolution of the social network of scientific collaborations","Barab��_��_si","Many studies have used the relationships between authors of a document to study broad domains such as physics (Newman, 2001a) and mathematics ( #AUTHOR_TAG et al., 2002)",5
CC74,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Science mapping software tools review analysis and cooperative study among tools","Cobo","Content analysis of publications and projectsScientometric mapping and analysis using bibliographic data is a well-established methodology, for which a variety of approaches, techniques, and automated tools have been developed (#AUTHOR_TAG et al., 2011)",5
CC75,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","CiteSpace II detecting and visualizing emerging trends and transient patterns in scientific literature","Chen","Existing research has demonstrated that analysis of abstracts and titles in bibliographic data can yield insight into the knowledge domains represented within the dataset (#AUTHOR_TAG, 2006)",5
CC76,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Scale and cross scale dynamics governance and information in a multilevel world","Cash","Previous research has shown that just because research is policy relevant, does not mean that policy makers will use it (#AUTHOR_TAG et al., 2006)",0
CC77,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Integrating climate change food prices and population health","Bradbear","These investigations may also include the specific role humans play in the carbon cycle, such as the impact of human-generated emissions or the consequences of climate change to agriculture and food systems (Berthelot et al., 2002;#AUTHOR_TAG and Friel, 2013;Dempewolf et al., 2014;Shindell et al., 2012)",0
CC78,42702124,"Social network and content analysis of the North American Carbon Program as a scientific community of practice","Monica Ihli","Investigators share improved understanding of the North American Carbon Cycle","Birdsey","In 2007, The US North American Carbon Program (NACP) sponsored its first ""all-scientist"" meeting to review progress in understanding the dynamics of the carbon cycle of North America and adjacent oceans, and to chart a course for improved integration across scientific disciplines, scales, and Earth system boundaries ( #AUTHOR_TAG et al., 2007)",0
CC79,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Cancer statistics","Siegel","Survival rates of patients with pancreatic cancer have improved only marginally during the last 30 years with a 5-year survival rate of only 6 % #AUTHOR_TAG",0
CC80,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Intensity modulated radiotherapy as neoadjuvant chemoradiation for the treatment of patients with locally advanced pancreatic cancer Outcome analysis and comparison with a 3D treated patient cohort","Combs","The patients in this trial were treated with 3D-conformal plans which have recently been shown to be equally effective and not significantly more toxic as IMRT plans in the neoadjuvant setting #AUTHOR_TAG",1
CC81,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Classification of surgical complications a new proposal with evaluation in a cohort of 6336 patients and results of a survey","Dindo","Perioperative complications were graded by #AUTHOR_TAG's classification ",5
CC82,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Toxicity criteria of the Radiation Therapy Oncology Group RTOG and the European Organization for Research and Treatment of Cancer EORTC ","Cox","Acute toxicity and adverse effects were reported using the NCI common toxicity criteria v2.0 and RTOG/EORTC recommendations for classifying late toxic effects of radiotherapy [#AUTHOR_TAG,25]",5
CC83,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","TNM classification of malignant tumours 6th edn","Sobin","Assessment and follow-up Resection specimens were graded and classified according to the sixth UICC TNM system #AUTHOR_TAG",5
CC84,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Comparison of four target volume definitions for pancreatic cancer Guidelines for treatment of the lymphatics and the primary tumor","Fokas","Three-dimensional treatment planning was mandatory for radiotherapy at 1.8 Gy to 55.8 Gy (tumor) or 50.4 Gy [regional lymph nodes, planning target volume (PTV  800 ml)] #AUTHOR_TAG",5
CC85,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Outcome after neoadjuvant chemoradiation and correlation with nutritional status in patients with locally advanced pancreatic cancer","Naumann","Additionally, consequent supportive therapy may explain the improved tolerability of treatment in this trial compared to others avoiding loss of weight which was described to be a negative prognostic factor after neoadjuvant chemoradiotherapy #AUTHOR_TAG",5
CC86,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Combining gemcitabine with radiation in pancreatic cancer understanding important variables influencing the therapeutic index","Crane","Hematologic toxicity of gemcitabine-based CRT is directly related to radiotherapy volume and, therefore, volumes were strictly limited #AUTHOR_TAG [32][33]",5
CC87,81765890,"Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial","Henriette Golcher","Tumor infiltration in the medial resection margin predicts survival after pancreaticoduodenectomy for pancreatic ductal adenocarcinoma","Zhang","Therefore, higher R0 resection rates after neoadjuvant treatment are expected to have an impact on survival [17,#AUTHOR_TAG[28][29][30].",1
