Goal Commitments and the content of thoughts and dreams: basic principles,Working memory capacity does not always support futureoriented mind wandering,"Also, working memory capacity has been reported inversely associated with everyday mind-wandering during resource-demanding activities ( Kane et al., 2007), positively related to proportionally prospective mind-wandering during an undemanding task ( Baird et al., 2011), but unrelated to proportionally prospective mind-wandering during demanding tasks ( #AUTHOR_TAG et al., 2013)",0
Work-Related Psychological Health Among Clergy Serving in The Presbyterian Church (USA): Testing the Idea of Balanced Affect,The Maslach Burnout Inventory,"In an attempt to bring greater scientific objectivity to the conceptualisation and assessment of clergy work-related psychological health, a number of studies have employed the #AUTHOR_TAG Burnout Inventory (MBI) established by #AUTHOR_TAG and Jackson (1996)",0
A Review of Psychometric Data Analysis and Applications,Chicken or the egg Longitudinal analysis of the causal dilemma between goal orientation self regulation and cognitive processing strategies in higher education,"In a longitudinal study on the causal dilemma between motivation and self-regulation, #AUTHOR_TAG et al",0
Evolution in Archaeology,Language trees support the express train sequence of Austronesian expansion,"These issues have resulted in a great deal of debate (for doubts 1997; contra, e.g., #AUTHOR_TAG &amp; Jordan 2000, Kirch &amp; Green 2001, Mace &amp; Pagel 1994 and critical analysis (e.g., Eerkens et al",0
Intuitive and Reflective Responses in Philosophy,Animate vision,"Conceptions of cognition in which symbolic reasoning takes charge are increasingly questioned (Thelen and Smith, 1993;#AUTHOR_TAG, 1991)",0
Prevalence of auditory hallucinations in Norwegian adolescents: Results from a population-based study,Healthy individuals with auditory verbal hallucinations who are they Psychiatric assessments of a selected sample of 103 subjects,"However, AVH and voice-hearing may also occur without an accompanying psychotic disorder (#AUTHOR_TAG, Daalman, Rietkerk et al., 2010a), and lie on a continuum from psychotic hallucinations to normal perceptual experiences (see e.g., Lari, 2012)",0
Green Supply Chain Management Enablers: Mixed Methods Research,Strategic Structural Contingency and Institutional Explanations in the Adoption of Innovative Manufacturing Practices,"Our hypotheses were all supported; in particular our study highlights the importance of institutional pressures ( #AUTHOR_TAG and Schroeder, 2004;Ketchen and Hult, 2007;Liu et al., 2010;Sarkis et al., 2011;Bhakoo and Choi, 2013;Kauppi, 2013;Dubey et al",5
Prevalence of auditory hallucinations in Norwegian adolescents: Results from a population-based study,Demographic correlates of psychotic like experiences in young Australian adults,"In young adults (age 18-24), a similar tendency for women reporting higher levels of hallucinations has been found (#AUTHOR_TAG, Welham, Martin et al., 2008)",1
A Review of Psychometric Data Analysis and Applications,Discovering knowledge in data An introduction to data mining,"Data mining is a relatively young field that has evolved primarily to aid the extraction of information from the vast amounts of data accumulated in databases and data repositories in many domains ( #AUTHOR_TAG, 2005)",0
Goal Commitments and the content of thoughts and dreams: basic principles,A parametric manipulation of factors affecting task induced deactivation in functional neuroimaging,"There were a number of partial precedents for these findings: SITs associated with medial prefrontal cortex ( McGuire et al., 1996), similarity in activation patterns during rest and semantic retrieval (Binder et al., 1999), increased task difficulty leading (a) to increased deactivation of some regions associated with the default-mode network (#AUTHOR_TAG, 2003) and (b) to decreased self-reported TUTs ( McKiernan et al., 2006)",0
Intuitive and Reflective Responses in Philosophy,Telling More than We Can Know Verbal Reports on Mental Processes,"Tversky and Kahneman (1974) and others have attempted provide an account of these systematic errors by introducing and characterizing these cognitive strategies: ""heuristics and biases"" (Evans 1984(Evans , 1989Gilovich Griffin and Kahneman 2002, Kahneman et al 2002, Kahneman and Frederick 2005, Levinson 1995, Tversky the highest in quality (#AUTHOR_TAG and Wilson 1977)",0
"High incidence and increasing prevalence of multiple sclerosis in British Columbia, Canada: findings from over two decades (1991-2010)",Multiple sclerosis in Australia socioeconomic factors,"Similar observations have been made in the past [30][31][32]#AUTHOR_TAG[34], although others have reported either no relationship or a negative association with SES [35].",1
A Review of Psychometric Data Analysis and Applications,Which factors best account for academic success Those which college students can control or those they cannot,A similar proportion of variance (44%) was reported by #AUTHOR_TAG et al,0
A Review of Psychometric Data Analysis and Applications,Unraveling the impact of the big five personality traits on academic performance The moderating and mediating effects of self efficacy and academic motivation,"Research into personality traits, specifically the BIG 5 factors of openness, conscientiousness, extroversion, agreeableness, and neuroticism, and their impact on academic achievement in tertiary education, suggests some personality factors are indicative of potential academic achievement (ChamorroPremuzic &amp; Furnham, 2004#AUTHOR_TAG et al., 2012)",0
The bonding effects of relationship value and switching costs in industrial buyer-seller relationships: An investigation into role differences,Prospect theory An analysis of decision under risk,"According to prospect theory, losses loom larger than gains of the same (monetary) amount (#AUTHOR_TAG &amp; Tversky, 1979).",0
"Voice, (inter-)subjectivity, and real time recurrent interaction",The art of conversation is coordination common ground and the coupling of eye movements during dialogue,"Eye movements ( #AUTHOR_TAG et al., 2007), postural sway ( Shockley et al., 2009), and even blinking (Cummins, 2012) have all been found to become subtly intertwined in conversation, leading to a dynamic entanglement of the participants",0
Turkish Voter Response to Government Incompetence and Corruption Related to the 1999 Earthquakes,Some Puzzles of Political Corruption in Modern Advanced Democracies,"(2010), Fernndez-Vzquez and Rivero (2010), Manzetti and Wilson (2007) and #AUTHOR_TAG (2006) offer some explanations as to why this is so",4
Wandering tales: evolutionary origins of mental time travel and language,Seeing and hearing speech excites the motor system involved in speech production,"Other studies show the parts of the brain involved in producing speech are activated when people simply watch silent videos of people speaking (Calvert and Campbell, 2003;#AUTHOR_TAG et al., 2003)",2
Necessary conditions for Ternary Algebras,Identities for the ternary commutator,"These identities, [7]#AUTHOR_TAG, play the rle of the Jacobi identity for ternary algebras and generate cubic necessary conditions on the structure constants of these algebras",1
THE RELATION BETWEEN CONTENT AND STRUCTURE IN LANGUAGE PRODUCTION: AN ANALYSIS OF SPEECH ERRORS IN SEMANTIC DEMENTIA,Semantic dementia a unique clinicopathological syndrome,"Verbal manifestations of the semantic deficit are seen in impaired object naming and word-to-picture matching, such that these tests are routinely used in diagnosis (#AUTHOR_TAG &amp; Patterson, 2007)",0
Goal Commitments and the content of thoughts and dreams: basic principles,The Role of Selective Attention in the Attitude Behavior Relationship Unpublished Ph D dissertation,"The automatic character of this cognitive prioritizing was further buttressed by data from a lexical decision task (#AUTHOR_TAG, 1987)",0
The Cost Effectiveness of Psychological and Pharmacological Interventions for Social Anxiety Disorder: A Model-Based Economic Analysis,Impact of psychiatric disorders on health related quality of life general population survey,"Following a systematic literature search of utility data for social anxiety disorder, the economic model was populated with utility scores obtained from a Finish national health survey #AUTHOR_TAG that reported EQ-5D utility scores (estimated using the UK Time Trade-Off Tarrif) [34] for people with social anxiety disorder and people with no mental disorder over the last 12 months",5
THE RELATION BETWEEN CONTENT AND STRUCTURE IN LANGUAGE PRODUCTION: AN ANALYSIS OF SPEECH ERRORS IN SEMANTIC DEMENTIA,Syntactic Preservation in Alzheimer s Disease,"Syntactic structures can be seen as highly routinised and automatically produced (Bates &amp; Wulfeck, 1989;#AUTHOR_TAG, Curtiss &amp; Jackson, 1987) and the processes that underpin their use in production have been constructively compared to implicit learning (Bock &amp; Griffin, 2000;Chang, Dell &amp; Bock, 2006;Ferriera &amp; Bock, 2006).",4
A Constructive Method and a Guided Hybrid GRASP for the Capacitated Multi-source Weber Problem in the Presence of Fixed Cost,Meta heuristics for the Capacitated Multi Source Weber Problem,"This, and all subsequent settings are based on, and found appropriate by, the experimentation of #AUTHOR_TAG (2008)",4
Unsupervised Identification of Study Descriptors in Toxicology Research: An Experimental Study,A generative model for unsupervised discovery of relations and argument classes from clinical texts,( #AUTHOR_TAG  2011) also used clinical texts and proposed a generative model for unsupervised relation extraction,1
Turkish Voter Response to Government Incompetence and Corruption Related to the 1999 Earthquakes,The Political Economy of Government Responsiveness Theory and Evidence from India,"(2003), Brunetti and Weder (2003), and #AUTHOR_TAG and Burgess (2002) provide evidence on the importance of a free press in reducing corruption",4
A Review of Psychometric Data Analysis and Applications,The relation between learning styles the Big Five personality traits and achievement motivation in higher education,"Openness, conscientiousness, and intrinsic motivation are correlated with a deep learning approach, while neuroticism, agreeableness, and extrinsic motivation are associated with a shallow learning approach ( #AUTHOR_TAG et al., 1999;Duff et al., 2004;Marton &amp; Slj, 2005)",0
Evaluation of new spin foam vertex amplitudes,Dual computations of non abelian Yang Mills on the lattice,See [31] and the Appendix of #AUTHOR_TAG for full details,5
"WHAT DETERMINES CARPOOLING TO WORKPLACES IN BELGIUM: LOCATION, ORGANISATION, OR PROMOTION?",Introducing a commute energy performance index for Flanders,"This figure is comparable to levels observed in the US and Canada ( Buliung et al., 2010), but a major difference with the US is the higher share of public transport in Belgium  commuting distances (#AUTHOR_TAG and Witlox, 2009)",5
"From Implications to Dimensions: Science, Medicine and Ethics in Society",Feminism law and bioethics,"For instance, STS indictments of bioethics that it is 'too close' to science recall some internal critiques, including those from feminist bioethicists who have sought especially deep critical engagement with biomedical institutions and practices [44,59,#AUTHOR_TAG] and bioethical scholarship itself [42,57,58]",0
Beyond Single-Level Accounts: The Role of Cognitive Architectures in Cognitive Scientific Explanation,Cue selection and category learning A systematic comparison of three theories,"Popperian falsifiability is not necessarily a requirement for scientific theorising (Lakatos, 1970), but the implications of the argument concerning performance factors are illustrated by the simulations of #AUTHOR_TAG, Yule and Fox (2003), who compared the behaviour of three classes of model -Bayesian, associationist and hypothesis testing -with that of subjects on a sequential category learning task (medical diagnosis)",0
"Mobile Termination, Network Externalities, and Consumer Expectations",Monopoly and Oligopoly Supply of a Good with Dynamic Network Externalities,"Cabral (2009), #AUTHOR_TAG (2007) and Laussel and Resende (2007) consider forward looking consumers",0
Intuitive and Reflective Responses in Philosophy,The origin of modern human behavior critique of the models and their test implications,"But the torrent of art, technology, ritual and symbolism that is deemed the distinctive signature of Home sapiens is seen to develop momentum somewhat later, with the change being particularly dramatic at the Middle/Upper Paleolithic transition in western Europe (#AUTHOR_TAG and Marean, 2003)",0
Questions and Answers on the Belgian Model of Integral End-of-Life Care: Experiment? Prototype?,The euthanasia law in Belgium and the Netherlands,"The law provides a reassuring procedural framework that helps with observing the ethical requirements to respect patient autonomy, to act beneficently, and to do no harm (#AUTHOR_TAG and van der Wal 2003;De Keyser 2003)",2
Information of the chassis and information of the program in synthetic cells,The mathematical theory of communication,"Information of the programThe study of the genetic program as a text, applying accepted rules of the theory of information (#AUTHOR_TAG and Weaver 1949;Cover and Thomas 1991) to its analysis (Hnaut et al",0
Coronal Loops: Observations and Modeling of Confined Plasma,Analysis of a multi wavelength time resolved observation of a coronal loop,"The amount of background depends on the instrument characteristics, such as the passband and the point response function: it is most of the signal in TRACE UV filterbands, for instance, and its subtraction becomes a very delicate issue (e.g., Del Zanna and Mason, 2003;#AUTHOR_TAG and Ciaravella, 2006;Aschwanden et al., 2008;Terzo and #AUTHOR_TAG, 2010)",5
Reliability of Objectively Measured Sedentary Time and Physical Activity in Adults,Objective vs self reported physical activity and sedentary time Effects of measurement method on relationships with risk biomarkers,"Inconsistent conclusions across studies might amongst other reasons arrive from unreliable measurements of SED, as most of these studies have included !3-5 days of measurement [12][13]#AUTHOR_TAG[15][16][17], with some exceptions (!1 day [18]; !6-7 days [19,20])",0
Using argument notation to engineer biological simulations with increased confidence,NetLogo itself Center for connected learning and computer based modeling,"While much focus has been given to the release of software tools that aid researchers in developing and analysing computational models [8][9][10][11]#AUTHOR_TAG[13], the same attention has not been given to providing researchers with a means of showing that their developed tool can adequately support the investigation of a specific biological research question: that the tool is fit for purpose.",0
The Treatment of Risk and Uncertainty in the US Social Cost of Carbon for Regulatory Impact Analysis,Recent development in modeling preferences uncertainty and ambiguity,"With some trepidation, I will do likewise.In outlining the second assumption, note that simple averaging runs counter to most economic research on ambiguity, which shows that individuals are averse to ambiguity (as summarised in #AUTHOR_TAG 1992)",0
Questions and Answers on the Belgian Model of Integral End-of-Life Care: Experiment? Prototype?,End of life decisions in Australian medical practice,"Similarly, illegal clandestine end-of-life practices, performed without peer control, as documented in Belgium before the euthanasia law and elsewhere ( #AUTHOR_TAG et al",0
Goal Commitments and the content of thoughts and dreams: basic principles,What mind wandering reveals about executive control abilities and failures,"#AUTHOR_TAG's conceptualization (e.g., #AUTHOR_TAG and McVay, 2012), on the other hand, features proactive executive control that keeps people focused on their goal pursuits, from which mind-wandering distracts",1
Social network and content analysis of the North American Carbon Program as a scientific community of practice,The North American Carbon Program NACP ,"The NACP was formally recognized by the United States in 2002 under the mantle of the nation's overall climate change management strategy (#AUTHOR_TAG, 2002)",0
Possible Hydrogen Transitions in the UK: Critical Uncertainties and Possible Decision Points,Hydrogen perspectives in Italy Analysis of possible deployment scenarios,"Evidence from energy systems analysis suggests that the desirability of hydrogen as a decarbonisation option depends strongly on success in bringing down costs, for both fuel cell technologies and hydrogen production, delivery and storage systems [#AUTHOR_TAG6,7]",2
Gauge fields for ultracold atoms in optical superlattices,Fast rotation of a Bose Einstein condensate,"This goal has, however, not yet been reached, because of the difficulty of communicating the required amount of angular momentum (on the order of N per atom, with N the number of particles) to the system [5,#AUTHOR_TAG]",4
Gender Specific Reproductive Strategies of an Arctic Key Species (Boreogadus saida) and Implications of Climate Change,Water mass modification in an Arctic fjord through cross shelf exchange The seasonal hydrography of Kongsfjorden,The high Arctic archipelago of Svalbard is characterized by water masses of both Atlantic and Arctic origin (Figure 2) #AUTHOR_TAG,0
Green Supply Chain Management Enablers: Mixed Methods Research,Does sustainable supplier cooperation affect performance Examining implications for the triple bottom line,"2012;Giovanni, 2012;#AUTHOR_TAG et al., 2012; Gimenez et al.2012;Paulraj and de Jong, 2011;Awaysheh and Klassen, 2010), looking at, for instance, the effect of internal or external environmental practices on the triple bottom line (Giovanni, 2012) and economic performance (Giovanni and Vinzi, 2012) or the role of supplier collaboration in sustainable performance ( #AUTHOR_TAG et al., 2012)",5
A Review of Psychometric Data Analysis and Applications,Motivation cognitive processing and achievement in higher education,"Important factors include learning style (e.g., #AUTHOR_TAG, 2004;Chamorro-Premuzic &amp; Furnham, 2008;Diseth, 2011;Sins et al., 2008) and self-regulation (e.g., Nasiriyan et al., 2011;Ning &amp; Downing, 2010)",0
Neoadjuvant chemoradiation therapy with gemcitabine/cisplatin and surgery versus immediate surgery in resectable pancreatic cancer Results of the first prospective randomized phase II trial,Cancer statistics,Survival rates of patients with pancreatic cancer have improved only marginally during the last 30 years with a 5-year survival rate of only 6 % #AUTHOR_TAG,0
The Views and Experiences of Smokers Who Quit Smoking Unassisted. A Systematic Review of the Qualitative Evidence,Understanding sustained behavior change The role of life crises and the process of reinvention Health An Interdisciplinary Journal for the Social Study of Health,"#AUTHOR_TAG Research question 2: What are the views and experiences of smokers who quit unassisted?The full set of concepts derived from the qualitative literature is shown in Fig 2. Concepts were grouped into those that included descriptive themes that have already been covered in the literature (Fig 2B, below the line) and those concepts that included descriptive themes that provided potentially new insights into unassisted cessation (Fig 2A, above the line)",4
Comparing live to recorded speech in training the perception of spectrally shifted noise-vocoded speech,In vivo measures of cochlear length and insertion depth of nucleus cochlear implant electrode arrays,"The speech processing is similar to that used in two previous studies Stacey and Summerfield, 2007) and simulates an eight-channel cochlear implant with upward frequency shifting representing the relatively shallow electrode insertions that are found in many CI recipients ( #AUTHOR_TAG et al., 1998)",0
"WHAT DETERMINES CARPOOLING TO WORKPLACES IN BELGIUM: LOCATION, ORGANISATION, OR PROMOTION?",Bouwen aan een duurzame mobiliteit Het woon werkverkeer in de Belgische bouwsector situering analyse en strategische alternatieven,"Note that in this case it is hard to distinguish between carpooling/ridesharing and transport organized by the employer (#AUTHOR_TAG et al., 1998)",0
A Review of Psychometric Data Analysis and Applications,Personality approaches to learning and achievement,"Openness, which is associated with curiosity, can be indicative of a deep learning style (#AUTHOR_TAG &amp; Martinsen, 2010)",0
Integration of audio-visual information for spatial decisions in children and adults,Young Children Do Not Integrate Visual and Haptic Form Information,"These tasks have found absent or suboptimal pooling of signals until much later in childhood (#AUTHOR_TAG et al., 2008;Nardini et al., 2008;Nardini et al., 2010;#AUTHOR_TAG et al., 2012;Nardini et al., 2013;Petrini et al., 2014)",1
Design and implementation of pay for performance,An Empirical Investigation of Gaming Responses to Explicit Performance Incentives,"Degrading of Performance Measures An interesting implication of distortion and manipulability is that numeric performance measures may degrade over time (#AUTHOR_TAG; Marschke 2004, 2008",2
Gauge fields for ultracold atoms in optical superlattices,The electronic properties of graphene,"We show that the case  = 1/2, leading to Dirac points analogous to those appearing in graphene #AUTHOR_TAG, can be achieved rather simply with a single laser beam coupling e and g",1
A Review of Psychometric Data Analysis and Applications,Estimating student retention and degree completion time Decision trees and neural networks vis vis regression,"ANALYSIS TECHNIQUES USED ON EDUCATIONAL DATAStatistical models have dominated data analysis in the social sciences, including educational psychology (Dekker et al., 2009;Freedman, 1987;#AUTHOR_TAG, 2006)",0
M-HEALTH AND HEALTH PROMOTION: THE DIGITAL CYBORG AND SURVEILLANCE SOCIETY,The surveillant assemblage,"As this suggests, central to a critical analysis of the use of the new social media and mobile devices to promote health is a recognition of these technologies as part of 'surveillance society', a term used by some writers to denote the increasing ubiquity of surveillance technologies in everyday life which are used to record, survey, monitor and discipline people (for example, #AUTHOR_TAG and Ericson, 2000;Lyon, 2007;Lyon, 2010;Bennett, 2011)",2
Action and Valence Modulate Choice and Choice-Induced Preference Change,Choice Blindness and Preference Change You Will Like This Paper Better If You Believe You Chose to Read It ,"However, despite this flaw in the literature recent studies replicated choice-induced preference change with experimental designs that account for this artefact [9][10][11][12]#AUTHOR_TAG.",0
Political Reforms and Public Policies: Evidence from Agricultural Protection,Democratization and growth,"Finally in order to avoid the use of very short reform episodes, we introduce the criteria that the dependent variable is observed for at least four years before and after each 10 The other usable data source on democratic transitions with a good overlapping with our sample, is that of #AUTHOR_TAG and Siourounis (2008), that indeed cover the period from 1960 to 2005",5
Goal Commitments and the content of thoughts and dreams: basic principles,Evaluative and generative modes of thought during the creative process,"Consistent with these findings, #AUTHOR_TAG et al",0
Scanning the Parameter Space of Holographic Superconductors,Phase transitions near black hole horizons,The no hair theorem does not apply if the scalar field has a non-trivial coupling to the gauge field #AUTHOR_TAG,0
Questions and Answers on the Belgian Model of Integral End-of-Life Care: Experiment? Prototype?,Euthanasia and other end of life decisions and care provided in final three months of life Nationwide retrospective study in Belgium,The relationship between euthanasia and spiritual or existential caregiving to the patient has been examined in a study involving the last three months of life of patients of a representative panel of Belgian general practitioners (#AUTHOR_TAG et al,2
Reversing autism by targeting downstream mTOR signaling A commentary on Autism-related deficits via dysregulated eIF4E-dependent translational control,Neuroligin 1 dependent competition regulates cortical synaptogenesis and synapse number,"NLGN1 is predominantly postsynaptic at excitatory synapses and promotes excitatory synaptic transmission ( Varoqueaux et al., 2006;#AUTHOR_TAG et al., 2012)",0
Enabling Informed Decision Making through Mobile Technologies: A Challenge for Software Engineering,Power and Politics in Requirements Engineering A Proposed Research Agenda,The key value of requirements in this context was also recently highlighted by #AUTHOR_TAG and Maiden (2011) who demonstrated that requirements are socially constructed in a political context,3
Disentangling supply and demand shifts: the impacts on world salmon prices,The Commodity Terms of Trade Unit Roots and Nonlinear Alternatives A Smooth Transition Approach,The recent price booms have also lead to increased interest in the Prebisch-Singer hypothesis of continuous long-term declines in primary commodity prices ( #AUTHOR_TAG and Holt 2009;Harvey and Kellard 2010;Enders and Holt 2012),0
"Sleep not just protects memories against forgetting, it also makes them more accessible",Intratrial and intertrial retention Notes towards a theory of free recall verbal learning,"However, as #AUTHOR_TAG (1964#AUTHOR_TAG ( , 1967, amongst others, pointed out, this approach is inherently blind to fluctuations at the item-level",5
A Review of Psychometric Data Analysis and Applications,Comparison of the performance of five common classifiers represented as boundary methods Euclidean distance to centroids linear discriminant analysis quadratic discriminant analysis learning vector quantization and support vector machines as dependent on data structure,"While SVMs are limited to numeric attributes and binary classification tasks, #AUTHOR_TAG (2009) found SVMs outperformed other learners when modelling datasets that are not normally distributed",0
High photobiont diversity in the common European soil crust lichen Psora decipiens,The general stochastic model of nucleotide substitution,The Akaike information criterion selected the GTR model ( #AUTHOR_TAG et al,0
Governance costs in foreign direct investments: A MNC headquarters challenge,Markets and Hierarchies Analysis and Antitrust Implications A Study in the Economics of Internal Organization,"We argue that the same set of human and environmental factors remain relevant for ex ante as well as ex post organizational governance (#AUTHOR_TAG, 1975)",4
High photobiont diversity in the common European soil crust lichen Psora decipiens,Biological soil crust rehabilitation in theory and practice an underexploited opportunity,"The influence of photobiont selection on the ecological amplitude of lichens is still largely underexplored (Peksa and Skaloud 2011) and shedding more light on this phenomenon would help towards understanding structure, composition and development of BCSs (#AUTHOR_TAG 2007;Lazaro et al",4
"WHAT DETERMINES CARPOOLING TO WORKPLACES IN BELGIUM: LOCATION, ORGANISATION, OR PROMOTION?",What drives car use A grounded theory analysis of commuters reasons for driving,"Drivers dislike a delegation of control and positively experience their solitary personal space ( #AUTHOR_TAG and Abraham, 2007)",5
Category learning in a dynamic world,Fast mapping of multiple words insights into when the information provided does and does not equal the information perceived,"Category learning is a product of nested timescales including (a) the current moment (e.g., how similar the stimuli are on the current trial, Horst and Twomey, 2013), (b) the ""just previous"" past (e.g., what happens during the intertrial interval, Kovack-Lesh and Oakes, 2007; whether stimuli on the first test trial are novel or familiar, Schner and Thelen, 2006; and trial order effects #AUTHOR_TAG et al., 2003;Vlach et al., 2008) and (c) developmental history (e.g., vocabulary level, Ellis and Oakes, 2006;Horst et al., 2009;Perry and Samuelson, 2011)",1
Green Supply Chain Management Enablers: Mixed Methods Research,Covariance versus Component based Estimates of Performance in Green Supply Chain Management,"2012;#AUTHOR_TAG, 2012;Hollos et al., 2012; Gimenez et al.2012;Paulraj and de Jong, 2011;Awaysheh and Klassen, 2010), looking at, for instance, the effect of internal or external environmental practices on the triple bottom line (#AUTHOR_TAG, 2012) and economic performance or the role of supplier collaboration in sustainable performance ( Hollos et al., 2012).",4
Coronal Loops: Observations and Modeling of Confined Plasma,High Velocity Flows in an Active Region Loop System Observed with the Coronal Diagnostic Spectrometer CDS on SOHO,"They were first addressed by Foukal (1976) and later explored more with SoHO observations ( #AUTHOR_TAG et al., 1997)",4
Sensemaking in business networks: Introducing dottograms to analyse network changes,Managing Business Relationships,"Management decision-making in this context is affected by managers' interpretations of the available information at a particular point in time (#AUTHOR_TAG et al., 2003) also referred to as sensemaking (Weick, 1979;",4
Coronal Loops: Observations and Modeling of Confined Plasma,The Effect of Background Subtraction on the Temperature of EIT Coronal Loops,"The problem of background subtraction in loop analysis has been addressed by several authors, who apply different subtraction ranging from simple offset, to emission in nearby pixels or subregions, to values interpolated between the loop sides, to whole images at times when the loop is no longer (or not yet) visible (Testa et al., 2002;Del Zanna and Mason, 2003;#AUTHOR_TAG et al., 2003;Aschwanden and Nightingale, 2005;Reale and Ciaravella, 2006;Aschwanden et al., 2008;Terzo and Reale, 2010).",5
"Voice, (inter-)subjectivity, and real time recurrent interaction",Great apes understanding of other individuals line of sight,"The other great apes do not have such a contrast, and their ability to align their gaze is severely limited, and based on head direction rather than the eyes-although chimpanzees and bonobos in particular do display some evidence of understanding the visual perspective of another (#AUTHOR_TAG et al., 2007)",0
Safe Concurrency Introduction through Slicing,A Program Transformation Framework for Multicore Software Reengineering,"Alternatively, programs can be targeted at specialised hardware, such as GPUs [11] and multicore systems #AUTHOR_TAG",1
Methodology and Campaign Design for the Evaluation of Semantic Search Tools,Semsearch A search engine for the semantic web,"INTRODUCTIONSearching the Semantic Web lies at the core of many activities that are envisioned for the Semantic Web; many researchers have investigated means for indexing and searching the Semantic Web [1][2][3][4]6,9,13,14,#AUTHOR_TAG]",0
THE RELATION BETWEEN CONTENT AND STRUCTURE IN LANGUAGE PRODUCTION: AN ANALYSIS OF SPEECH ERRORS IN SEMANTIC DEMENTIA,The natural history of temporal variant frontotemporal dementia,"SD is a sub-type of Fronto-Temporal Dementia (FTD, Hodges &amp; Patterson, 2007) in which there is relatively focal atrophy of the anterior inferior temporal lobe bilaterally, though often more severe on the left ( Rosen et al, 2002; Mummery et al, 2000; Galton et al, 2001;#AUTHOR_TAG et al, 2005).",0
"Voice, (inter-)subjectivity, and real time recurrent interaction",Dialog as interpersonal synergy,"A competing account has recently been proposed that regards inter-personal coordination in dialog as a form of synergy or dynamical coupling ( #AUTHOR_TAG et al., 2014)",0
